"Ward","category","n","disciplined","sustained","open","unknown","sd_plus"
37,"Traffic",16,0,0,0,1,0
37,"Verbal Abuse",24,0,0,0,3,0
38,"Alcohol Abuse",1,0,0,1,0,NA
38,"Arrest/Lock-up Procedures",54,2,1,0,3,0.0588235294117647
38,"Conduct Unbecoming (Off-duty)",20,2,2,0,1,0.210526315789474
38,"Criminal Misconduct",4,0,1,0,0,0.25
38,"Drug/Substance Abuse",2,0,0,0,0,0
38,"First Amendment and Illegal Arrest",81,0,0,0,8,0
38,"Operation/Personnel Violations",129,5,2,2,2,0.056
38,"Search-Related",15,0,0,0,0,0
38,"Supervisory Responsibilities",3,0,0,0,0,0
38,"Traffic",11,0,0,2,0,0
38,"Verbal Abuse",8,0,0,0,1,0
39,"Alcohol Abuse",2,0,0,0,0,0
39,"Arrest/Lock-up Procedures",50,1,0,0,2,0.0208333333333333
39,"Conduct Unbecoming (Off-duty)",8,1,0,0,3,0.2
39,"Criminal Misconduct",1,0,0,0,0,0
39,"First Amendment and Illegal Arrest",49,0,0,0,6,0
39,"Operation/Personnel Violations",94,4,0,1,5,0.0454545454545455
39,"Search-Related",7,0,0,0,2,0
39,"Supervisory Responsibilities",3,0,0,0,0,0
39,"Traffic",3,0,0,0,1,0
39,"Verbal Abuse",8,0,0,0,0,0
40,"Alcohol Abuse",2,2,0,0,0,1
40,"Arrest/Lock-up Procedures",33,1,0,0,2,0.032258064516129
40,"Bribery / Official Corruption",4,0,0,0,0,0
40,"Conduct Unbecoming (Off-duty)",10,5,1,0,2,0.75
40,"Criminal Misconduct",1,0,0,0,0,0
40,"First Amendment and Illegal Arrest",59,0,0,1,18,0
40,"Operation/Personnel Violations",131,2,3,0,28,0.0485436893203883
40,"Search-Related",21,0,0,0,5,0
40,"Supervisory Responsibilities",1,0,0,0,0,0
40,"Traffic",7,0,0,0,0,0
40,"Verbal Abuse",9,0,0,0,0,0
41,"Alcohol Abuse",3,1,0,0,2,1
41,"Arrest/Lock-up Procedures",51,2,0,0,5,0.0434782608695652
41,"Conduct Unbecoming (Off-duty)",15,2,0,0,0,0.133333333333333
41,"Criminal Misconduct",5,0,2,0,1,0.5
41,"Drug/Substance Abuse",1,0,0,1,0,NA
41,"First Amendment and Illegal Arrest",22,0,1,0,4,0.0555555555555556
41,"Operation/Personnel Violations",50,1,2,1,0,0.0612244897959184
41,"Traffic",6,0,0,0,1,0
41,"Verbal Abuse",5,0,0,0,1,0
42,"Arrest/Lock-up Procedures",197,1,2,0,7,0.0157894736842105
42,"Bribery / Official Corruption",2,1,1,0,0,1
42,"Conduct Unbecoming (Off-duty)",35,7,4,4,3,0.392857142857143
42,"Criminal Misconduct",2,1,1,0,0,1
42,"First Amendment and Illegal Arrest",148,0,0,0,13,0
42,"Operation/Personnel Violations",324,14,14,4,25,0.0949152542372881
42,"Search-Related",74,3,0,0,10,0.046875
42,"Supervisory Responsibilities",3,0,0,0,0,0
42,"Traffic",21,0,0,0,1,0
42,"Verbal Abuse",26,0,0,0,3,0
43,"Arrest/Lock-up Procedures",76,0,0,0,2,0
43,"Conduct Unbecoming (Off-duty)",13,4,5,0,0,0.692307692307692
43,"First Amendment and Illegal Arrest",57,0,0,0,8,0
43,"Operation/Personnel Violations",139,6,2,2,6,0.0610687022900763
43,"Search-Related",18,0,0,0,3,0
43,"Traffic",8,0,0,0,0,0
43,"Verbal Abuse",17,1,0,0,2,0.0666666666666667
44,"Alcohol Abuse",1,1,0,0,0,1
44,"Arrest/Lock-up Procedures",45,0,0,0,0,0
44,"Bribery / Official Corruption",1,0,0,0,0,0
